d,n,p,g,n7,n7g,n7g6
2020-02-26,1,8932664,0,0.142857142857143,,
2020-02-27,2,8932664,0,0.428571428571429,,
2020-02-28,4,8932664,0,1,1.56669890360128,
2020-02-29,1,8932664,0,1.14285714285714,1.43372087784044,
2020-03-01,4,8932664,0,1.71428571428571,1.38777733297742,
2020-03-02,5,8932664,0,2.42857142857143,1.43319714416896,
2020-03-03,6,8932664,0,3.28571428571429,1.40054934277178,1.38677340680752
2020-03-04,14,8932664,0,5.14285714285714,1.3907589749183,1.35703803649865
2020-03-05,9,8932664,2,6.14285714285714,1.40377641926844,1.35434296400372
2020-03-06,29,8932664,2,9.71428571428571,1.36027208162721,1.34436380145376
2020-03-07,23,8932664,2,12.8571428571429,1.29099444873581,1.33971710153107
2020-03-08,28,8932664,2,16.2857142857143,1.25,1.34210009726047
2020-03-09,22,8932664,2,18.7142857142857,1.32259356241564,1.34911608363725
2020-03-10,55,8932664,3,25.7142857142857,1.38818544277392,1.34913504573775
2020-03-11,109,8932664,5,39.2857142857143,1.40452705411245,1.33848898091925
2020-03-12,98,8932664,8,52,1.39114590726025,1.32249981023244
2020-03-13,182,8932664,8,73.8571428571429,1.3462108813348,1.30260345104245
2020-03-14,210,8932664,10,100.571428571429,1.29449209313144,1.27813498407212
2020-03-15,198,8932664,14,124.857142857143,1.25904839619524,1.25525771115494
2020-03-16,226,8932664,26,154,1.23926109932054,1.23424015728104
2020-03-17,346,8932664,28,195.571428571429,1.22578932530804,1.21379995655341
2020-03-18,372,8932664,30,233.142857142857,1.20644262190581,1.19575866528326
2020-03-19,455,8932664,34,284.142857142857,1.18092725362603,1.17764593417203
2020-03-20,509,8932664,44,330.857142857143,1.16399873007866,1.1632401108172
2020-03-21,548,8932664,55,379.142857142857,1.15372529313479,1.15004048289452
2020-03-22,618,8932664,73,439.142857142857,1.14364827522458,1.13499250052957
2020-03-23,687,8932664,129,505,1.12584009680189,1.11759982237323
2020-03-24,723,8932664,219,558.857142857143,1.11593856732235,1.10037290245621
2020-03-25,754,8932664,316,613.428571428571,1.10684623765749,1.08241612546871
2020-03-26,1057,8932664,477,699.428571428572,1.08249980654539,1.06257563084714
2020-03-27,807,8932664,698,742,1.04304599075061,1.03968697340145
2020-03-28,617,8932664,894,751.857142857143,1.00901298818063,1.01710195886226
2020-03-29,547,8932664,1146,741.714285714286,0.991110078874464,0.996200857520634
2020-03-30,671,8932664,1516,739.428571428572,0.978921864809096,0.97653494439506
2020-03-31,551,8932664,1893,714.857142857143,0.953750966207922,0.957216702571891
2020-04-01,549,8932664,2238,685.571428571429,0.923106879059824,0.939084029739747
2020-04-02,438,8932664,2623,597.142857142857,0.902371584298625,0.924520954898304
2020-04-03,412,8932664,3095,540.714285714286,0.896692973618974,0.914726086726681
2020-04-04,253,8932664,3628,488.714285714286,0.897426889477237,0.90841681752187
2020-04-05,183,8932664,3974,436.714285714286,0.892715220969574,0.905488740307481
2020-04-06,306,8932664,4691,384.571428571429,0.891801993759913,0.906947965318667
2020-04-07,289,8932664,5211,347.142857142857,0.898981233180624,0.910846860444714
2020-04-08,290,8932664,5821,310.142857142857,0.917104404165257,0.917390289592112
2020-04-09,276,8932664,6418,287,0.942122366631058,0.923021047066326
2020-04-10,357,8932664,7054,279.142857142857,0.963128529022487,0.926787968712011
2020-04-11,203,8932664,7456,272,0.954834834909529,0.925253315930254
2020-04-12,111,8932664,7771,261.714285714286,0.929784448818853,0.918790442491607
2020-04-13,87,8932664,8079,230.428571428571,0.906963979713246,0.909427720427099
2020-04-14,150,8932664,8636,210.571428571429,0.894404461823362,0.900806778339742
2020-04-15,129,8932664,9128,187.571428571429,0.872821964559888,0.890517868609734
2020-04-16,111,8932664,9585,164,0.841581375862264,0.880869783462425
2020-04-17,100,8932664,10008,127.285714285714,0.832477683231664,0.875430842657932
2020-04-18,60,8932664,10264,106.857142857143,0.867422595449186,0.878506849246083
2020-04-19,47,8932664,10427,97.7142857142857,0.912438559015135,0.887912059203609
2020-04-20,68,8932664,10813,95,0.921061774562815,0.897571470151248
2020-04-21,70,8932664,11246,83.5714285714286,0.907284093357742,0.909000330088594
2020-04-22,73,8932664,11506,75.5714285714286,0.907157226017083,0.923039948826437
2020-04-23,60,8932664,11753,68.2857142857143,0.935750041786543,0.938726156245335
2020-04-24,79,8932664,12016,65.2857142857143,0.9648890759884,0.95094881618889
2020-04-25,62,8932664,12156,65.5714285714286,0.985912245346244,0.957755966037407
2020-04-26,35,8932664,12266,63.8571428571429,0.985589492183222,0.961037110818334
2020-04-27,70,8932664,12464,64.1428571428572,0.976853900250915,0.963067444797023
2020-04-28,49,8932664,12634,61.1428571428572,0.973205995339917,0.959772321929748
2020-04-29,61,8932664,12809,59.4285714285714,0.960954668394913,0.955568682463145
2020-04-30,54,8932664,13013,58.5714285714286,0.941680604263766,0.948392046710814
2020-05-01,37,8932664,13124,52.5714285714286,0.92109104339243,0.940932740514977
2020-05-02,28,8932664,13204,47.7142857142857,0.907601788888852,0.939081362820422
